gsc,hs
ofd,030324
ofd,090210
ofd,160559
ofd,030485
ofd,200599
ofd,200919
ofd,091012
ofd,080132
ofd,030615
ofd,200950
ofd,030344
ofd,030399
ofd,160412
ofd,030479
ofd,200949
ofd,080390
ofd,030695
ofd,130220
ofd,030333
ofd,091099
ofd,030636
ofd,080270
ofd,030451
ofd,350211
ofd,071239
ofd,160414
ofd,160554
ofd,2002
ofd,030455
ofd,080310
ofd,081290
ofd,160431
ofd,030563
ofd,030345
ofd,030614
ofd,160556
ofd,170230
ofd,200979
ofd,200570
ofd,1704
ofd,030812
ofd,030331
ofd,1101
ofd,2103
ofd,090932
ofd,030619
ofd,030496
ofd,130219
ofd,030369
ofd,030486
ofd,2102
ofd,170250
ofd,200971
ofd,080212
ofd,1902
ofd,030639
ofd,0813
ofd,030732
ofd,200591
ofd,2007
ofd,090412
ofd,030788
ofd,030611
ofd,130213
ofd,0811
ofd,080122
ofd,090720
ofd,200559
ofd,030539
ofd,1108
ofd,030384
ofd,170219
ofd,200929
ofd,170260
ofd,030483
ofd,030562
ofd,030552
ofd,030488
ofd,080590
ofd,190520
ofd,030739
ofd,080111
ofd,200897
ofd,030439
ofd,120242
ofd,030382
ofd,080222
ofd,0408
ofd,030472
ofd,030729
ofd,210130
ofd,160418
ofd,030564
ofd,130231
ofd,1903
ofd,030332
ofd,030342
ofd,030612
ofd,030443
ofd,160420
ofd,030635
ofd,0814
ofd,200911
ofd,030339
ofd,080529
ofd,030341
ofd,110313
ofd,170211
ofd,030452
ofd,030463
ofd,080280
omt,160250
omt,020741
omt,021012
omt,021092
omt,020727
omt,160290
omt,020714
omt,021093
omt,020712
omt,020711
omt,020753
omt,020713
omt,160220
omt,020755
omt,020754
omt,160232
omt,020319
omt,020744
omt,230110
omt,020312
omt,020724
omt,020726
omt,021091
omt,021099
omt,160231
omt,020743
omt,021020
omt,160242
omt,020850
omt,160239
omt,020810
omt,160241
omt,020751
omt,021019
omt,020725
omt,020752
omt,021011
omt,020311
omt,160249
omt,020745
omt,1601
omt,020742
omt,020760
omt,020890
omt,1603
osd,120110
osd,1203
osd,120230
osd,120590
osd,120710
osd,120190
osd,120241
osd,120730
osd,120740
osd,120791
osd,120760
osd,1206
osd,120770
osd,080119
osd,120799
osd,070992
osd,120729
osd,080112
osd,120510
osd,120750
osd,120721
osd,1204
pcr,100620
pcr,100630
pcr,100640
pdr,100610
pfb,530500
pfb,5201
pfb,530310
pfb,530210
pfb,530110
rmk,040120
rmk,040140
rmk,040150
sgr,170113
sgr,170114
sgr,1703
sgr,170220
sgr,170112
sgr,170199
sgr,170191
v_f,070970
v_f,080390
v_f,080241
v_f,080930
v_f,080510
v_f,0708
