country,CRO,FIS,FOR,LIV,MAO,MBA,MBE,MCH,MCO,MEL,MFA,MFO,MFU,MIN,MMA,MNM,MPA,MPH,MRU,MTE,MTO,MTR,MWO,RES,PUB,REP,HEA,BUI,TEL,OPS,TRA,POS,TRR,FIN,ELE,OFS,ARC,REN,EMP,EDU,ACF,ACC,INS,TRL,LIB,INF,WAS,AMO,ADM,REA,CRE,VET,CST,SOC,VID,TRW,SEC,SPO,BET,CON
AFR,1316904.5371753785,0.0,0.0,54768.450116612905,18892.4359453311,10234.74251797547,283184.9470415073,663763.9397827956,365895.0555864306,143.86789711179773,8234.161697534537,84578.17687664628,817.7484323459273,41913.33242956701,274352.20256975404,18694.147742969133,2851.8371085675344,14459.111873352578,1431728.0265805076,471564.89263897535,3094446.403422966,302013.05915226944,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AME,5107112.7741718115,7863803.48170179,4016510.9872505977,4654345.281452551,31932207.775683753,788128.3480870167,2465250.3274936443,5554726.629152623,612363.2359271005,518201.0711930313,770762.7570453107,4853354.077229177,530782.9401053485,16075.794574937787,28250931.454453003,2649858.0181020093,1868580.9866484015,217154.37707319073,2559647.607489154,25946230.66321533,5411981.186570651,196120744.2395255,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASI,10169142.517150192,79391978.18563877,227444006.8033033,45787653.106132016,1121081668.5409122,185095148.60888374,134391200.3414949,185571611.99323866,292230038.75835997,22373660.10249706,449625348.4455907,49028370.25126822,7733451.312705524,5473866.850401111,658666285.276881,289203652.96458936,53689977.70790347,14674544.247290809,231232972.20625767,2534840990.6898165,377521275.68596005,352556944.5029334,27812799.313706543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,1747978.1586273818,2224667.2135628886,7959613.823299467,14593443.3264258,55079432.24890921,8165413.971026975,13250402.706122268,14166769.424963865,932781.8254401218,792322.8311333777,6820868.717885811,22857384.44656481,721753.1699440128,190836.04226240396,145046669.7356676,7750027.274884363,4976006.357274806,9463179.651123015,7162538.61140438,56349310.74968954,2439451.9263716955,36384633.40131167,629809.1923286165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,15850.3705459378,0.0,0.0,2874945.999450977,0.0,0.0,9851201.60878498,0.0,1313527.8936497285,0.0,0.0,0.0,0.0,0.0,48803.073014114816,0.0,0.0,0.0,13211.319418935143,16426.636282419684,134552.32468246427,4423697.123514952,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCE,3242318.4448318374,0.0,2441287.8065854223,14659166.191947268,6150364.146249707,307284.23784689873,925942.0252833212,3984832.6107977084,10472.340553076803,56619.04903500124,2580.26476776351,3890172.6612391328,29136.486033022793,190778.4021098895,5866829.577440845,530.0060548719567,859186.7515841072,217385.29231704774,151756.5012131989,157662.25927625547,0.0,213340.42854414484,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,13192593.533355385,92823169.91926253,37623472.45763958,196942255.24121964,92041173.59071739,87088272.31729089,157545907.21317217,196443417.75478145,426364079.35235286,12648069.414225405,117339684.38956638,148958591.62172496,2089070.9316745887,139637597.46683347,301640117.23736626,93205976.31945942,15542159.086598236,15484120.688865097,246803129.07895428,105758084.17518036,2362605.540140296,231760817.96247998,7772.530206243363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,27986743.50665696,94034903.73436953,24546532.95142367,27486066.54247235,165472927.47733504,359573402.265517,9442986.791419683,330041233.3851811,304577042.6028851,2694017.9672104516,1693756.8307021377,50640406.94730022,6204157.645772053,20776383.961468548,26785816.392535843,45637181.11830424,14762679.725064369,4447447.361755113,125794797.68600355,208143206.60553595,13777246.353295395,43220724.62256964,23439086.39256054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
