buying_sector,input_sector,inventory_duration_target
ACF,ACF,1.0491071428571428
ACF,AGR,3.061224489795918
ACF,CON,2.8600305720070196
ACF,EDU,7.557054381530828
ACF,FIN,3.637411524387972
ACF,HEA,8.678771706758793
ACF,MAN,3.420849420849421
ACF,MIN,2.0582448577213053
ACF,OTH,1.0
ACF,PRO,9.68503057200702
ACF,PUB,6.804078191054638
ACF,TIC,2.357142857142857
ACF,TRA,5.749723145071982
ACF,UTI,4.285714285714286
ACF,IMP,2.989108763061658
CON,ACF,2.5706074617346935
CON,AGR,4.654526239067055
CON,CON,1.8154761904761905
CON,EDU,7.2821428571428575
CON,FIN,3.3625000000000003
CON,HEA,8.40386018237082
CON,MAN,0.2857142857142857
CON,MIN,1.1428571428571428
CON,OTH,6.828769841269842
CON,PRO,9.410119047619048
CON,PUB,6.529166666666667
CON,TIC,8.81968462823726
CON,TRA,7.952380952380952
CON,UTI,1.0
CON,IMP,2.439285714285714
EDU,ACF,7.178571428571429
EDU,AGR,28.214285714285715
EDU,CON,14.477340754483611
EDU,EDU,20.25
EDU,FIN,15.254721706864563
EDU,HEA,37.214285714285715
EDU,MAN,27.74285714285714
EDU,MIN,13.675555040197898
EDU,OTH,26.785714285714285
EDU,PRO,34.857142857142854
EDU,PUB,14.714285714285714
EDU,TIC,52.142857142857146
EDU,TRA,13.137291280148423
EDU,UTI,15.03995767625232
EDU,IMP,26.223729128014842
FIN,ACF,3.2386134141156466
FIN,AGR,4.285714285714286
FIN,CON,1.3333333333333335
FIN,EDU,7.95014880952381
FIN,FIN,4.285714285714286
FIN,HEA,9.071866134751772
FIN,MAN,4.285714285714286
FIN,MIN,2.451339285714286
FIN,OTH,7.4967757936507935
FIN,PRO,4.285714285714286
FIN,PUB,7.197172619047619
FIN,TIC,1.0
FIN,TRA,10.726190476190476
FIN,UTI,0.0
FIN,IMP,3.7752976190476195
HEA,ACF,2.0
HEA,AGR,4.285714285714286
HEA,CON,3.712819236278517
HEA,EDU,8.409843045802328
HEA,FIN,4.490200188659469
HEA,HEA,4.133738601823708
HEA,MAN,6.645861419943395
HEA,MIN,2.9110335219928025
HEA,OTH,7.956470029929311
HEA,PRO,0.42857142857142855
HEA,PUB,12.857142857142858
HEA,TIC,2.0
HEA,TRA,7.157635467980296
HEA,UTI,4.275436158047225
HEA,IMP,4.694686091604653
MAN,ACF,3.816326530612245
MAN,AGR,2.577142857142857
MAN,CON,2.9523809523809526
MAN,EDU,11.965094145057602
MAN,FIN,8.045451287914743
MAN,HEA,11.857142857142858
MAN,MAN,5.880398671096345
MAN,MIN,1.5142857142857142
MAN,OTH,11.511721129184584
MAN,PRO,52.142857142857146
MAN,PUB,11.21211795458141
MAN,TIC,31.74285714285714
MAN,TRA,4.46134817563389
MAN,UTI,1.1071428571428572
MAN,IMP,11.8051882901152
OTH,ACF,1.0
OTH,AGR,4.534363901404718
OTH,CON,2.4649567099567102
OTH,EDU,7.16198051948052
OTH,FIN,3.242337662337662
OTH,HEA,8.283697844708483
OTH,MAN,0.8571428571428571
OTH,MIN,0.42857142857142855
OTH,OTH,6.708607503607504
OTH,PRO,4.285714285714286
OTH,PUB,6.409004329004328
OTH,TIC,8.699522290574922
OTH,TRA,4.423376623376623
OTH,UTI,3.0275736317254176
OTH,IMP,2.198961038961039
PRO,ACF,4.285714285714286
PRO,AGR,9.01113054745708
PRO,CON,4.285714285714286
PRO,EDU,11.63874716553288
PRO,FIN,7.7191043083900235
PRO,HEA,12.760464490760844
PRO,MAN,12.380952380952381
PRO,MIN,0.2857142857142857
PRO,OTH,22.0
PRO,PRO,27.142857142857142
PRO,PUB,10.88577097505669
PRO,TIC,14.571428571428571
PRO,TRA,9.44047619047619
PRO,UTI,5.979591836734693
PRO,IMP,11.152494331065762
PUB,ACF,5.56903819766543
PUB,AGR,7.6529569749977915
PUB,CON,5.583549783549784
PUB,EDU,10.280573593073594
PUB,FIN,6.3609307359307365
PUB,HEA,11.402290918301556
PUB,MAN,11.214285714285714
PUB,MIN,4.78176406926407
PUB,OTH,4.285714285714286
PUB,PRO,1.0
PUB,PUB,9.527597402597403
PUB,TIC,13.142857142857142
PUB,TRA,9.974025974025974
PUB,UTI,11.0
PUB,IMP,8.436147186147187
TIC,ACF,0.14285714285714285
TIC,AGR,2.142857142857143
TIC,CON,4.549190345994857
TIC,EDU,9.246214155518667
TIC,FIN,5.32657129837581
TIC,HEA,10.36793148074663
TIC,MAN,13.591836734693876
TIC,MIN,1.0
TIC,OTH,0.38095238095238093
TIC,PRO,17.285714285714285
TIC,PUB,4.285714285714286
TIC,TIC,15.157894736842106
TIC,TRA,5.155844155844156
TIC,UTI,4.530612244897959
TIC,IMP,6.367428311037334
TRA,ACF,2.142857142857143
TRA,AGR,3.5214285714285714
TRA,CON,3.267857142857143
TRA,EDU,4.0
TRA,FIN,4.594826889471385
TRA,HEA,4.268571428571429
TRA,MAN,6.310615989515072
TRA,MIN,2.392857142857143
TRA,OTH,12.857142857142858
TRA,PRO,6.0
TRA,PUB,7.761493556138051
TRA,TIC,4.685714285714285
TRA,TRA,6.453800786369594
TRA,UTI,2.9464285714285716
TRA,IMP,4.903939493228484
UTI,ACF,7.550964604591836
UTI,AGR,9.634883381924197
UTI,CON,7.56547619047619
UTI,EDU,12.262500000000001
UTI,FIN,8.342857142857143
UTI,HEA,13.384217325227963
UTI,MAN,10.498518374141069
UTI,MIN,6.763690476190476
UTI,OTH,11.809126984126985
UTI,PRO,14.39047619047619
UTI,PUB,11.50952380952381
UTI,TIC,13.800041771094403
