sector,trigram_desc,trigram_desc_en,description,output,final_demand,pc_exports,usd_per_ton,supply_data,cutoff,type
QU2,química otros,other chemical products,Fabricación de otros productos químicos,9588321,975110,0.011347138,5438.605441,QU2,479416.05,manufacturing
REF,refinados de petróleo,refined petroleum products,Fabricación de productos refinados de petróleo y de otros,280832,1530715,1.787880299,,REF,14041.6,manufacturing
REP,reparación,motor vehicle reparations,Servicios de reparación y mantenimiento de vehículos de motor y motocicletas,3652601,465998,0.000345781,,REP,182630.05,service
RES,alimento y bebida (restauración),food and drink (restaurants),Servicio de alimento y bebida,4102296,2748841,0.000429516,,RES,205114.8,service
SAL,salud,health,Servicios sociales y de salud no de mercado,1363527,4894576,0.000977612,,SAL,68176.35,service
SEG,seguros,insurance,"Financiación de planes de seguro, excepto seguridad social",6653216,618239,0,,SEG,332660.8,service
SIL,silvicultura,forestry,"Silvicultura, extracción de madera y actividades relacionadas",8435168,523135,0.006914741,,SIL,421758.4,agriculture
TAB,tabaco,tobacco,Elaboración de productos de tabaco,8391776,101033,0.002098245,11125.79431,TAB,419588.8,agriculture
TEL,comunicación/información,communication and information,Comunicaciones e información,6350849,2905382,0.01011849,,TEL,317542.45,utility
TRA,transporte,transport,Transporte y almacenamiento,4910932,4208200,0.081869796,,TRA,245546.6,transport
VES,prendas de vestir,clothing,Fabricación de prendas de vestir ,2725404,758144,0.014588296,12192.43743,VES,136270.2,manufacturing
VID,vidrios/cerámicas,glasses and ceramics,"Fabricación de vidrio, productos refractarios y de cerámica ",503284,62475,0.075804119,801.6783896,VID,25164.2,manufacturing
IMP,importaciones,imports,imports,878871,758144,0.045238721,719.8854359,,,
