sector,supply_data,cutoff,coverage
AGR,AGR,44240,0.80
MIN,MIN,5485,0.99
MAN,MAN,43015,0.95
UTI,UTI,8378,0.85
CON,CON,59397,0.9
TRA,TRA,47756,0.85
ACF,ACF,10475,0.88
TIC,TIC,36202,0.82
FIN,FIN,11935,0.9
PRO,PRO,57642,0.9
PUB,PUB,33667,0.83
EDU,EDU,19999,0.8
HEA,HEA,15674,0.85
OTH,OTH,8211,0.91
