buying_sector,input_sector,inventory_duration_target
ADM,ADM,27.142857142857142
ADM,ADP,7.663764556670125
ADM,AGU,2.2142857142857144
ADM,ALD,2.857142857142857
ADM,ASO,22.0
ADM,AYG,4.703546302701873
ADM,AZU,4.703546302701873
ADM,BAL,2.857142857142857
ADM,BNA,2.857142857142857
ADM,CAN,4.703546302701873
ADM,CAR,2.857142857142857
ADM,CAU,2.857142857142857
ADM,CEM,0.2857142857142857
ADM,CER,4.703546302701873
ADM,CHO,2.857142857142857
ADM,CIN,4.703546302701873
ADM,COM,9.382566585956416
ADM,CON,4.285714285714286
ADM,CUE,2.857142857142857
ADM,CUL,4.703546302701873
ADM,DEM,2.857142857142857
ADM,DOM,6.354240747146316
ADM,EDU,7.32447884238441
ADM,ELE,7.485714285714286
ADM,FID,2.857142857142857
ADM,FIN,4.497097890003459
ADM,FRT,4.703546302701873
ADM,FRV,4.703546302701873
ADM,GAN,4.703546302701873
ADM,HIL,2.857142857142857
ADM,HOT,4.285714285714286
ADM,LAC,4.703546302701873
ADM,MAD,2.857142857142857
ADM,MAN,2.857142857142857
ADM,MAQ,2.857142857142857
ADM,MET,2.857142857142857
ADM,MIP,0.2857142857142857
ADM,MOL,2.857142857142857
ADM,MUE,2.857142857142857
ADM,PAN,2.857142857142857
ADM,PAP,2.857142857142857
ADM,PES,4.703546302701873
ADM,PLS,2.857142857142857
ADM,POS,8.174240747146316
ADM,PPR,4.703546302701873
ADM,QU1,2.857142857142857
ADM,QU2,2.857142857142857
ADM,REF,2.857142857142857
ADM,RES,4.285714285714286
ADM,SAL,9.287328893042972
ADM,SEG,4.497097890003459
ADM,SIL,4.703546302701873
ADM,TAB,4.703546302701873
ADM,TEL,14.571428571428571
ADM,TRA,8.174240747146316
ADM,VES,2.857142857142857
ADM,VID,2.857142857142857
ADM,REP,4.7084814942926325
ADM,INM,4.7084814942926325
ADM,IMP,4.7084814942926325
ADP,ADM,1.0
ADP,ADP,10.629273025824748
ADP,AGU,11.0
ADP,ALD,11.214285714285714
ADP,ASO,4.285714285714286
ADP,AYG,7.669054771856496
ADP,AZU,7.669054771856496
ADP,BAL,11.214285714285714
ADP,BNA,11.214285714285714
ADP,CAN,7.669054771856496
ADP,CAR,11.214285714285714
ADP,CAU,11.214285714285714
ADP,CEM,6.087039465734047
ADP,CER,7.669054771856496
ADP,CHO,11.214285714285714
ADP,CIN,7.669054771856496
ADP,COM,9.974025974025974
ADP,CON,6.517189692491416
ADP,CUE,11.214285714285714
ADP,CUL,7.669054771856496
ADP,DEM,11.214285714285714
ADP,DOM,9.31974921630094
ADP,EDU,10.289987311539035
ADP,ELE,7.069034930586655
ADP,FID,11.214285714285714
ADP,FIN,7.462606359158083
ADP,FRT,7.669054771856496
ADP,FRV,7.669054771856496
ADP,GAN,7.669054771856496
ADP,HIL,11.214285714285714
ADP,HOT,6.602895615356431
ADP,LAC,7.669054771856496
ADP,MAD,11.214285714285714
ADP,MAN,11.214285714285714
ADP,MAQ,11.214285714285714
ADP,MET,11.214285714285714
ADP,MIP,6.087039465734047
ADP,MOL,11.214285714285714
ADP,MUE,11.214285714285714
ADP,PAN,11.214285714285714
ADP,PAP,11.214285714285714
ADP,PES,7.669054771856496
ADP,PLS,11.214285714285714
ADP,POS,11.13974921630094
ADP,PPR,7.669054771856496
ADP,QU1,11.214285714285714
ADP,QU2,11.214285714285714
