,FRT,CER,FRV,CIN,CUL,GAN,SIL,PES,EXT,MIN1,MIN2,CAR,PPR,AYG,LAC,MOL,PAN,FID,AZU,CHO,CAN,ALD,BNA,BAL,TAB,HIL,VES,CUE,MAD,PAP,REF,QU1,QU2,CAU,PLS,VID,CEM,MET,DEM,MAQ,MUE,MAN,ELE,AGU,CON,COM,REP,HOT,RES,TRA,POS,TEL,FIN,SEG,INM,ADM,ADP,EDU,SAL,ASO,DOM
TEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.05,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.00
FIN,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.05,0.00,0.02,0.00,0.02,0.02,0.03,0.06,0.14,0.02,0.01,0.01,0.00,0.00,0.00,0.00
SEG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INM,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.04,0.01,0.00,0.00,0.00,0.01,0.00
ADM,0.01,0.01,0.08,0.04,0.03,0.08,0.05,0.07,0.08,0.05,0.08,0.01,0.01,0.02,0.06,0.01,0.02,0.06,0.02,0.06,0.01,0.07,0.01,0.09,0.15,0.03,0.02,0.06,0.02,0.04,0.01,0.03,0.05,0.04,0.01,0.06,0.06,0.04,0.03,0.02,0.02,0.01,0.05,0.07,0.03,0.05,0.04,0.07,0.03,0.06,0.39,0.17,0.13,0.04,0.04,0.09,0.03,0.02,0.03,0.07,0.00
ADP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EDU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASO,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.00
DOM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMP,0.04,0.02,0.02,0.08,0.01,0.07,0.01,0.08,0.05,0.02,0.02,0.03,0.02,0.10,0.03,0.14,0.05,0.03,0.02,0.06,0.38,0.06,0.02,0.08,0.03,0.11,0.09,0.09,0.04,0.19,0.36,0.31,0.22,0.21,0.43,0.06,0.05,0.17,0.24,0.21,0.04,0.12,0.02,0.03,0.03,0.05,0.03,0.07,0.04,0.13,0.00,0.05,0.03,0.06,0.01,0.02,0.03,0.04,0.09,0.12,0.00
