,,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,AFR,ASI,CAR,COL,EUR,NAM,OCE,PER,SAM
,,ADM,ADP,AGU,ALD,ASO,AYG,AZU,BAL,BNA,CAN,CAR,CAU,CEM,CER,CHO,CIN,COM,CON,CUE,CUL,DEM,DOM,EDU,ELE,FID,FIN,FRT,FRV,GAN,HIL,HOT,INM,LAC,MAD,MAN,MAQ,MET,MIP,MOL,MUE,PAN,PAP,PES,PLS,POS,PPR,QU1,QU2,REF,REP,RES,SAL,SEG,SIL,TAB,TEL,TRA,VES,VID,final_demand,exports,exports,exports,exports,exports,exports,exports,exports,exports
ECU,CAN,16.0,880.0,1.0,708.0,80.0,449.0,2.0,27.0,11.0,71.0,2070.0,2.0,23.0,3.0,27.0,4.0,29.0,306.0,32.0,1.0,17.0,0.0,65.0,20.0,74.0,4.0,31.0,3.0,119112.0,12.0,90.0,3.0,104.0,57.0,24.0,36.0,25.0,32.0,30.0,18.0,427.0,16.0,106530.0,14.0,0.0,95560.0,5.0,36.0,18.0,3.0,1631.0,105.0,1.0,2.0,0.0,9.0,50.0,17.0,4.0,188699.0,96.8941592478669,231.04012321182094,12.818644907185146,2830.627569985216,113.17932109560176,7592.736547633273,46.2289963153386,9354.887173277131,45.58746432656402
ECU,CAR,54.0,81070.0,4.0,65090.0,6228.0,26471.0,8.0,239.0,36.0,2844.0,185767.0,6.0,78.0,8.0,140.0,14.0,98.0,1043.0,3651.0,2.0,57.0,0.0,3952.0,69.0,922.0,12.0,89.0,11.0,77956.0,82.0,8023.0,11.0,21100.0,254.0,1235.0,122.0,85.0,104.0,205.0,60.0,6032.0,53.0,66808.0,47.0,1.0,63598.0,17.0,1431.0,61.0,9.0,149004.0,5557.0,4.0,8.0,1.0,32.0,171.0,59.0,13.0,2277243.0,0.0,1489.6973768100072,0.5399234125374571,0.0,1395.830363859848,10493.345138639346,0.0,0.0,968.5871972782612
ECU,CAU,873.0,61.0,43.0,37.0,1017.0,36.0,9.0,18.0,29.0,16.0,117.0,913.0,42.0,5.0,44.0,22.0,125.0,8780.0,560.0,1.0,1261.0,0.0,60.0,437.0,7.0,47.0,100.0,113.0,37.0,87.0,14.0,69.0,65.0,699.0,15.0,21420.0,36.0,3027.0,33.0,51.0,39.0,854.0,37.0,130.0,6.0,196.0,8.0,211.0,201.0,23.0,63.0,76.0,15.0,6.0,4.0,56.0,6440.0,159.0,9.0,79389.0,609.5589554983164,418.91811555345043,4114.609695246421,29964.20365226693,1680.6433965012031,1928.8014308685672,37.226906925241835,6702.715165177222,4320.322681962644
ECU,CEM,203.0,252.0,134.0,98.0,209.0,120.0,391.0,137.0,448.0,37.0,265.0,17.0,125593.0,40.0,82.0,33.0,407.0,1612261.0,134.0,5.0,939.0,0.0,188.0,3140.0,15.0,46.0,894.0,29.0,99.0,69.0,37.0,27.0,134.0,681.0,125.0,785.0,210.0,6349.0,57.0,369.0,91.0,153.0,751.0,149.0,4.0,371.0,256.0,1416.0,87.0,9.0,142.0,1063.0,7.0,6.0,2.0,166.0,269.0,51.0,189.0,-106575.0,152.25859736901953,186.69681379521464,53.66011636000419,15646.817411010916,114.10625334742893,3241.28949106601,0.0,847.3730523789379,12.79826467246705
ECU,CER,22.0,21.0,2.0,72426.0,18.0,4474.0,3.0,20600.0,15.0,52712.0,127228.0,2.0,32.0,627.0,30.0,6.0,40.0,430.0,9.0,1.0,24.0,0.0,862.0,29.0,5.0,5.0,37.0,4.0,26074.0,16.0,26.0,4.0,52.0,70.0,16.0,50.0,35.0,43.0,386190.0,25.0,333.0,22.0,35.0,19.0,0.0,145431.0,6.0,26.0,25.0,4.0,754.0,341.0,2.0,3.0,1.0,13.0,71.0,24.0,6.0,69052.0,0.002157515354447756,412.1889934365349,0.0,12.947249642040983,1357.6488995165669,3783.2452455735515,0.0,235.96745431595104,0.0
ECU,CHO,514.0,559.0,40.0,520.0,786.0,707.0,76.0,578.0,330.0,957.0,2969.0,56.0,740.0,76.0,211932.0,131.0,907.0,9692.0,200.0,23.0,530.0,0.0,1212.0,643.0,535.0,112.0,1126.0,109.0,877.0,359.0,1951.0,244.0,3049.0,1578.0,362.0,1133.0,790.0,981.0,2055.0,561.0,14010.0,491.0,779.0,436.0,8.0,4423.0,145.0,614.0,571.0,81.0,9851.0,1772.0,34.0,77.0,14.0,310.0,1687.0,550.0,125.0,307753.0,374.6280107670011,49620.54126708801,6073.481161213408,4729.997867754945,72758.89452881811,81055.56438167709,826.8678983591554,4541.458506401787,2784.566377920512
ECU,CIN,39.0,50.0,3.0,37544.0,32.0,315163.0,266134.0,329879.0,25.0,41.0,238.0,4.0,56.0,6.0,6381.0,11291.0,70.0,748.0,15.0,2.0,41.0,0.0,38.0,50.0,8.0,9.0,64.0,8.0,647610.0,59337.0,13.0,8.0,91.0,122.0,28.0,87.0,61.0,74.0,56.0,43.0,2514.0,38.0,60.0,34.0,1.0,306.0,11.0,27358.0,44.0,6.0,2681.0,102.0,3.0,6.0,18196.0,23.0,123.0,42.0,10.0,47815.0,10124.229965958564,29042.342001522786,942.5436293862914,2676.7847150648845,13475.12382656541,29918.236295793882,0.0,18919.693092294317,19449.046473413862
ECU,COM,74430.0,70527.0,5886.0,68281.0,60766.0,102977.0,11255.0,50171.0,48366.0,57147.0,436962.0,8198.0,106054.0,11227.0,99127.0,19224.0,133456.0,1426726.0,29368.0,3385.0,78068.0,0.0,72349.0,94609.0,15903.0,16546.0,122276.0,16112.0,114969.0,52912.0,24263.0,14785.0,173355.0,232255.0,53294.0,166650.0,116226.0,141845.0,106340.0,82594.0,103014.0,72315.0,114618.0,64205.0,1205.0,557786.0,21406.0,85508.0,84114.0,11959.0,182766.0,195319.0,5006.0,11344.0,2031.0,43104.0,234251.0,80975.0,18397.0,6104609.0,10056.305861330957,104756.84894596417,52975.15642069888,33201.363423727395,196729.19064960445,301309.8543486458,3279.7395076999946,45414.88476188061,9353.656080447756
ECU,CON,9402.0,36663.0,45.0,526.0,117847.0,793.0,87.0,387.0,373.0,440.0,3367.0,63.0,817.0,88.0,764.0,148.0,1028.0,16701.0,226.0,26.0,602.0,0.0,19905.0,879.0,123.0,54311.0,2145.0,541.0,902.0,408.0,2419.0,747742.0,1336.0,1790.0,411.0,1284.0,896.0,29714.0,819.0,636.0,794.0,557.0,883.0,495.0,9.0,4298.0,165.0,659.0,15221.0,92.0,4191.0,41959.0,256.0,94.0,16.0,332.0,3520.0,624.0,142.0,19065851.0,77.48014018276011,807.1130147948082,408.15410770890753,255.80430108245514,1515.7261005936552,2321.481672822779,25.26918734608774,349.9049935687514,72.06648189979586
ECU,CUE,0.0,10723.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,43885.0,0.0,0.0,0.0,1138.0,1363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,0.0,25418.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13552.0,872.0,8121.0,0.0,256205.0,14.312275202210351,8376.416274895219,241.703452989558,357.4711775315201,6886.53537711111,10303.176181688716,8.328732331910649,1522.2714631203285,12.785065129427418
