,sector,export_value,output,final_demand,exporting_firms_share,usd_per_ton,supply_data_currency,cutoff,sector_code,type
0,ARM_ATP,118.4213930753736,227.5971020353366,116.84213717728308,0.5203115154646721,1000,USD,0,ATP,transport
1,AZE_ATP,355.62930211313886,1177.5370158965354,982.2706635151018,0.30201114471325147,1000,USD,0,ATP,transport
2,Africa_ATP,13695.559715943577,44211.11408396346,22508.531655675033,0.309776398982701,1000,USD,0,ATP,transport
3,America_ATP,3858.9824806598426,5821.949061803998,2625.56965358109,0.6628334325316293,1000,USD,0,ATP,transport
4,Asia_ATP,43230.86833180525,281525.8551736786,143350.18519949666,0.15355914043893168,1000,USD,0,ATP,transport
5,CHN_ATP,13748.06223398014,155155.92840324104,29489.08782605646,0.08860803693075615,1000,USD,0,ATP,transport
6,Europe_ATP,53472.827924932084,226970.77380601727,114541.46407941516,0.2355934512107411,1000,USD,0,ATP,transport
7,GEO_ATP,202.93902114308193,470.90842279200604,198.03931386319402,0.43095220072697105,1000,USD,0,ATP,transport
8,KAZ_ATP,519.2504297970205,2532.409794698101,1481.9110958801919,0.20504202395841803,1000,USD,0,ATP,transport
9,KGZ_ATP,138.7098863950276,185.66244944215782,88.31970815319842,0.7471079198394501,1000,USD,0,ATP,transport
10,North America_ATP,62552.342879346215,313249.9865628261,169485.3600108779,0.1996882539907167,1000,USD,0,ATP,transport
11,Oceania_ATP,10058.375539442899,36293.02390338089,9661.087407665042,0.27714349639810276,1000,USD,0,ATP,transport
12,RUS_ATP,6649.117705833563,25362.53027906436,15296.353719835712,0.2621630268223717,1000,USD,0,ATP,transport
13,South America_ATP,5595.099134991341,50203.67156092835,19718.80510968623,0.11144800690923568,1000,USD,0,ATP,transport
14,TJK_ATP,640.007682065984,792.250731135521,418.58209167514957,0.8078347635585904,1000,USD,0,ATP,transport
15,TKM_ATP,169.36439348997885,501.4189410850907,187.88788834785157,0.3377702348528508,1000,USD,0,ATP,transport
16,TUR_ATP,9216.908771666198,20230.807374187803,12619.95756372627,0.45558778753565315,1000,USD,0,ATP,transport
17,UZB_ATP,352.5383851706169,572.4084432312741,299.53376770038426,0.6158860676137483,1000,USD,0,ATP,transport
18,ARM_BPH,137.1185123982157,157.53380048549496,89.13773851355408,0.8704069347380531,1000,USD,0,BPH,manufacturing
19,AZE_BPH,13.66040660651425,22.38396893159897,10.365079450359858,0.6102763387609133,1000,USD,0,BPH,manufacturing
20,Africa_BPH,833.2432431327301,16596.347548236026,8438.711012449805,0.05020642287171751,1000,USD,0,BPH,manufacturing
21,America_BPH,251.70840761318982,2082.5253516984967,626.8528514949054,0.12086691161185517,1000,USD,0,BPH,manufacturing
22,Asia_BPH,29898.847742558675,259589.6789465653,61629.43572033414,0.11517733626348503,1000,USD,0,BPH,manufacturing
23,CHN_BPH,20751.59168101845,1025157.072333435,98377.54520916748,0.02024235333399616,1000,USD,0,BPH,manufacturing
24,Europe_BPH,155848.8588224024,490501.48771395977,165198.2001140657,0.3177337127941333,1000,USD,0,BPH,manufacturing
25,GEO_BPH,108.38510466976398,157.72618916401967,66.12837533814192,0.6871725313610041,1000,USD,0,BPH,manufacturing
26,KAZ_BPH,61.555403305673785,1046.3061856415404,783.9220369716028,0.058831156835731806,1000,USD,0,BPH,manufacturing
27,KGZ_BPH,20.1351446199724,25.364601766887425,14.26125903239985,0.7938285333640881,1000,USD,0,BPH,manufacturing
28,North America_BPH,53771.20293314681,235274.86008303153,101899.4614494198,0.22854631775860054,1000,USD,0,BPH,manufacturing
29,Oceania_BPH,3253.8094614823817,13078.34137761873,8998.910271299903,0.24879373978191927,1000,USD,0,BPH,manufacturing
30,RUS_BPH,513.068063007348,9895.560043259607,5752.593046061964,0.051848309824245466,1000,USD,0,BPH,manufacturing
31,South America_BPH,2165.5454695544754,50843.194703271,20334.718500434432,0.042592631761102825,1000,USD,0,BPH,manufacturing
32,TJK_BPH,1.764869365306667,3.902692516564816,1.6909545477068813,0.45221839994202784,1000,USD,0,BPH,manufacturing
33,TKM_BPH,12.402396662023058,82.7249377863735,43.13969023084318,0.14992331204951342,1000,USD,0,BPH,manufacturing
34,TUR_BPH,680.020033116243,4883.269365776948,2097.4410801326644,0.13925507322655117,1000,USD,0,BPH,manufacturing
35,UZB_BPH,1180.7963199111252,1657.847834692878,521.4586261664944,0.7122465012778882,1000,USD,0,BPH,manufacturing
36,ARM_B_T,1013.8012494489652,1955.6931035647501,1329.975094208855,0.5183846318223722,1000,USD,0,B_T,manufacturing
37,AZE_B_T,73.09960790506898,320.55866468478257,289.3177853929267,0.22803815949555,1000,USD,0,B_T,manufacturing
38,Africa_B_T,4180.1331202103565,107502.42503117555,77073.60041272835,0.038884082093944616,1000,USD,0,B_T,manufacturing
39,America_B_T,1071.9591144417557,5837.358077575536,3106.011035093294,0.18363771764485942,1000,USD,0,B_T,manufacturing
40,Asia_B_T,2670.4555814866535,276467.4174784544,200615.05836040035,0.0096592054349217,1000,USD,0,B_T,manufacturing
41,CHN_B_T,1410.3215620568044,471079.24945482373,160102.376189723,0.002993809563229453,1000,USD,0,B_T,manufacturing
42,Europe_B_T,36940.43604257571,298092.0788630573,157908.6701633441,0.12392290390093205,1000,USD,0,B_T,manufacturing
43,GEO_B_T,1069.5477286272815,2125.242942459543,1577.9306768349425,0.5032590426530221,1000,USD,0,B_T,manufacturing
44,KAZ_B_T,170.1383054326786,2319.1665012987514,2153.3076689241047,0.07336183294187797,1000,USD,0,B_T,manufacturing
45,KGZ_B_T,41.35402416574977,163.1001045754737,104.75755370862382,0.25354995493956545,1000,USD,0,B_T,manufacturing
46,North America_B_T,7203.232002463695,286403.0365821191,218173.2728112615,0.025150683066861766,1000,USD,0,B_T,manufacturing
47,Oceania_B_T,4492.825378750718,20627.778643562815,13919.972573300118,0.21780461465989054,1000,USD,0,B_T,manufacturing
48,RUS_B_T,599.0575724337613,26617.452693765525,24081.041551064456,0.022506194688347303,1000,USD,0,B_T,manufacturing
49,South America_B_T,9983.36832496242,114040.58797094267,66915.51048600058,0.08754223827315029,1000,USD,0,B_T,manufacturing
50,TJK_B_T,6.843932235189185,12.314518242367834,10.484867831550151,0.55576126491435,1000,USD,0,B_T,manufacturing
51,TKM_B_T,0.23226032648501688,106.37501036810256,87.49334325303121,0.002183410611959499,1000,USD,0,B_T,manufacturing
52,TUR_B_T,92.7347478833758,27792.07318523668,19901.234256804324,0.0033367337249470496,1000,USD,0,B_T,manufacturing
53,UZB_B_T,41.539490724251515,2267.5423664348473,1916.990172470498,0.018319168514395676,1000,USD,0,B_T,manufacturing
54,ARM_CHM,45.89653576787404,134.3932522285665,34.3187297173583,0.34150922763455765,1000,USD,0,CHM,manufacturing
55,AZE_CHM,754.8998204014911,873.0252144362169,178.26343182225708,0.8646941782649326,1000,USD,0,CHM,manufacturing
56,Africa_CHM,16806.180888214185,79762.6347762538,22405.839605773424,0.2107024289676244,1000,USD,0,CHM,manufacturing
57,America_CHM,1200.0791643270154,4652.464783885623,1120.7774215756724,0.25794481421624843,1000,USD,0,CHM,manufacturing
58,Asia_CHM,123950.06998379099,1198586.7098761285,146307.46733151935,0.10341351940787077,1000,USD,0,CHM,manufacturing
59,CHN_CHM,96144.69805970162,1095030.8291457917,42916.58617147432,0.08780090523542783,1000,USD,0,CHM,manufacturing
60,Europe_CHM,128675.25092976412,745087.4433846333,99825.81023089477,0.1726981874036745,1000,USD,0,CHM,manufacturing
61,GEO_CHM,433.5428057721608,528.820416405356,117.56646625736725,0.8198299315279042,1000,USD,0,CHM,manufacturing
62,KAZ_CHM,6804.965153263511,7867.107967149944,413.92564910993696,0.8649894194510184,1000,USD,0,CHM,manufacturing
63,KGZ_CHM,696.0577829699339,717.1563727041503,191.5173300984333,0.9705802102062332,1000,USD,0,CHM,manufacturing
64,North America_CHM,115633.28408795789,840457.2837752833,105745.34199199335,0.1375837729295892,1000,USD,0,CHM,manufacturing
65,Oceania_CHM,4865.436072950818,21755.122319338887,4127.029431971546,0.22364553972770643,1000,USD,0,CHM,manufacturing
66,RUS_CHM,7822.778508866131,55211.203966245695,6666.850725648037,0.14168824345233838,1000,USD,0,CHM,manufacturing
67,South America_CHM,11400.56994741832,223401.71629634852,36198.30063973888,0.05103170260471567,1000,USD,0,CHM,manufacturing
68,TJK_CHM,3.2537101375306627,11.605392529456166,1.7380054197830783,0.2803619204841435,1000,USD,0,CHM,manufacturing
69,TKM_CHM,6225.846418179903,6386.119160433398,1741.3087785203659,0.9749029515066834,1000,USD,0,CHM,manufacturing
70,TUR_CHM,7839.177495564427,37422.36797859812,5443.684879590017,0.2094783927101475,1000,USD,0,CHM,manufacturing
71,UZB_CHM,2185.7116327601107,3884.5594068023347,445.3428759556019,0.5626665482146224,1000,USD,0,CHM,manufacturing
72,ARM_CMT,9.265419585094543,449.92383245837283,347.95960952679695,0.02059330694813057,1000,USD,0,CMT,manufacturing
73,AZE_CMT,7.623315617937999,83.14919783287434,71.34055003941157,0.09168237116683287,1000,USD,0,CMT,manufacturing
74,Africa_CMT,1030.0241288520597,123791.25245542114,113398.09307649994,0.008320653587562538,1000,USD,0,CMT,manufacturing
75,America_CMT,47.8181247857381,2215.0241140515063,1489.1367755874762,0.021588083164599887,1000,USD,0,CMT,manufacturing
76,Asia_CMT,1043.5874223625633,71161.31154487707,45128.223470142446,0.014665095396737268,1000,USD,0,CMT,manufacturing
77,CHN_CMT,1478.7116332542744,221640.71067197446,127416.48488384733,0.006671660764717315,1000,USD,0,CMT,manufacturing
78,Europe_CMT,1555.9324412680457,105505.76464522142,66419.27078613442,0.01474736898500377,1000,USD,0,CMT,manufacturing
79,GEO_CMT,62.52317570582476,662.6055589928748,453.43895301026794,0.09435957012020343,1000,USD,0,CMT,manufacturing
80,KAZ_CMT,10.953152903572827,2387.16879847502,2329.094545607103,0.004588344532054021,1000,USD,0,CMT,manufacturing
81,KGZ_CMT,9.084479120702456,109.33815965553697,76.46556414153459,0.08308608037049955,1000,USD,0,CMT,manufacturing
82,North America_CMT,1872.0607386789989,197605.54361172466,104148.52348859377,0.009473725809825523,1000,USD,0,CMT,manufacturing
83,Oceania_CMT,17643.865746505624,38030.8012547547,18510.85329497618,0.46393620866191315,1000,USD,0,CMT,manufacturing
84,RUS_CMT,28.032732705302198,33784.46298298935,29083.324331508957,0.0008297522064925767,1000,USD,0,CMT,manufacturing
85,South America_CMT,23655.419566083183,96590.44037278491,58719.46985320345,0.24490435569800215,1000,USD,0,CMT,manufacturing
86,TJK_CMT,1.749395632916199,156.94424362927302,153.3872351936076,0.011146605905779804,1000,USD,0,CMT,manufacturing
87,TKM_CMT,1.9064647141155788,102.28628790458977,97.8826356532112,0.01863851698180585,1000,USD,0,CMT,manufacturing
88,TUR_CMT,1.8817748556135598,9684.882292216527,7440.534087054044,0.00019430022986710848,1000,USD,0,CMT,manufacturing
89,UZB_CMT,19.69421645413438,1010.7492058840207,847.4451528141024,0.019484770642891024,1000,USD,0,CMT,manufacturing
90,ARM_CNS,372.80846223420235,4713.790998230969,3121.0183115150453,0.07908888246723561,1000,USD,0,CNS,construction
