,country1,gsc,weighted_ratio
0,ARM,BPH,26078.90443583589
1,ARM,C_B,15232.597704928201
2,ARM,CHM,5066.417555834055
3,ARM,CMT,4775.65898794951
4,ARM,CTL,2259.1580753880007
5,ARM,EEQ,36061.82531405035
6,ARM,ELE,198382.05486673416
7,ARM,FMP,2439.373271138816
8,ARM,FRS,723.9475405114887
9,ARM,FSH,4970.102222566053
10,ARM,GRO,688.2081853013244
11,ARM,GSC,4588.417076176565
12,ARM,I_S,10170.669615631632
13,ARM,LEA,6900.491983363673
14,ARM,LUM,1357.6069069811792
15,ARM,MIL,1759.2624459410324
16,ARM,MVH,16139.889994682506
17,ARM,NFM,12585.615290062755
18,ARM,NMM,427.06658953794164
19,ARM,OAP,2568.228880005686
20,ARM,OCR,6561.914675460867
21,ARM,OFD,1733.3028781379805
22,ARM,OME,7264.275405176553
23,ARM,OMF,1383421.279233298
24,ARM,OMT,4073.812108007599
25,ARM,OSD,6749.448680704681
26,ARM,OTN,65873.00932160877
27,ARM,OXT,1054.5097487240585
28,ARM,P_C,8661.760489770984
29,ARM,PCR,4396.362045299278
30,ARM,PDR,5831.908835601082
31,ARM,PPP,1761.3412044074719
32,ARM,RMK,778.4912652708546
33,ARM,RPP,2120.7805501209814
34,ARM,SGR,3192.126767492662
35,ARM,TEX,3137.050057601891
36,ARM,V_F,548.5571470738441
37,ARM,VOL,5181.439141476406
38,ARM,WAP,101183.03566723112
39,ARM,WHT,778.623513822987
40,ARM,WTR,326.59881596158186
41,AZE,BPH,51683.487840204056
42,AZE,CHM,731.8467429863402
43,AZE,CMT,6317.6041612676345
44,AZE,COA,81.64869541286609
45,AZE,CTL,599.6152372255344
46,AZE,EEQ,24891.42920803412
47,AZE,ELE,84107.86959898246
48,AZE,FMP,5275.696871265901
49,AZE,FRS,348.06060868810835
50,AZE,FSH,1219.664134818643
51,AZE,GAS,274.51654289761757
52,AZE,GRO,324.6089763533677
53,AZE,GSC,1744.2144083307976
54,AZE,I_S,505.02177036289874
55,AZE,LEA,2724.9702941338282
56,AZE,LUM,451.66951304637456
57,AZE,MIL,3954.252350729594
58,AZE,MVH,6799.534316427949
59,AZE,NFM,9084.41101188316
60,AZE,NMM,70.25159627515445
61,AZE,OAP,1231.325467397288
62,AZE,OCR,1284.7945046896236
63,AZE,OFD,3708.918182422705
64,AZE,OIL,382.9039743724733
65,AZE,OME,6457.379067565278
66,AZE,OMF,95356.06836192089
67,AZE,OMT,1861.468312852535
68,AZE,OSD,1189.0587502666997
69,AZE,OTN,32355.10169610307
70,AZE,OXT,208.46321340458098
71,AZE,P_C,224.70034750955477
72,AZE,PCR,1125.6361640554835
73,AZE,PDR,957.0810389091998
74,AZE,PFB,1504.688839024609
75,AZE,PPP,336.8837641222513
76,AZE,RMK,859.3470720006538
77,AZE,RPP,2549.257531683521
