labels,sector,type,essential,usd_per_ton,output,final_demand,share_exporting_firms,cutoff,supply_data,country,country_ISO
ALB_Recycling,ALB_Recycling,utility,True,,30194.80463281356,-3444.278599001132,0.7564396709489974,0,USD,Albania,ALB
"ALB_Electricity, Gas and Water","ALB_Electricity, Gas and Water",utility,True,,898236.9369589358,467395.6545029896,0.0321472063414675,0,USD,Albania,ALB
ALB_Construction,ALB_Construction,construction,True,,4087530.697878464,2465465.4693506733,0.0201145403068085,0,USD,Albania,ALB
ALB_Maintenance and Repair,ALB_Maintenance and Repair,construction,True,,75504.36306505464,33317.25392093458,0.4158181281003461,0,USD,Albania,ALB
ALB_Wholesale Trade,ALB_Wholesale Trade,trade,True,,1284390.491625148,557792.0966791066,0.0706895559863248,0,USD,Albania,ALB
ALB_Retail Trade,ALB_Retail Trade,trade,True,,980581.1286653389,806501.6944729699,0.0512548283391674,0,USD,Albania,ALB
ALB_Hotels and Restraurants,ALB_Hotels and Restraurants,service,True,,783129.1664445138,565835.9359154331,0.0793964579960331,0,USD,Albania,ALB
ALB_Transport,ALB_Transport,construction,True,,1185231.3180436264,161892.20965155656,0.0587726723312129,0,USD,Albania,ALB
ALB_Post and Telecommunications,ALB_Post and Telecommunications,service,True,,681278.2843359829,284534.51955316635,0.0684303273342346,0,USD,Albania,ALB
ALB_Finacial Intermediation and Business Activities,ALB_Finacial Intermediation and Business Activities,service,True,,3249695.931057353,1334412.614509898,0.0036580239719819,0,USD,Albania,ALB
ALB_Public Administration,ALB_Public Administration,service,True,,1310862.386693854,1271573.50528594,0.023612795256855,0,USD,Albania,ALB
"ALB_Education, Health and Other Services","ALB_Education, Health and Other Services",service,True,,1617715.73226848,1483464.625470061,0.0231790857568264,0,USD,Albania,ALB
ALB_Private Households,ALB_Private Households,service,True,,49200.53287800481,23364.971124204483,0.5197246975191149,0,USD,Albania,ALB
ALB_Others,ALB_Others,service,True,,43260.21318150448,10926.618688700257,0.0705665473722024,0,USD,Albania,ALB
ALB_Re-export & Re-import,ALB_Re-export & Re-import,imports,True,,14996.50903019336,2573.8694353726564,0.8279057260875479,0,USD,Albania,ALB
DZA_Agriculture,DZA_Agriculture,agriculture,True,,22747478.49145701,9518893.653632708,0.0096666150055658,0,USD,Algeria,DZA
DZA_Fishing,DZA_Fishing,agriculture,True,,1042989.1673874848,449662.1106903957,0.0288336561561928,0,USD,Algeria,DZA
DZA_Mining and Quarrying,DZA_Mining and Quarrying,mining,True,,31316020.03523205,779311.4734403078,0.960198907645415,0,USD,Algeria,DZA
DZA_Food & Beverages,DZA_Food & Beverages,agriculture,True,,6088194.573000623,5235353.884811332,0.0022012902887041,0,USD,Algeria,DZA
DZA_Textiles and Wearing Apparel,DZA_Textiles and Wearing Apparel,manufacturing,True,,924835.0943473732,636037.2158910156,0.007425472387812,0,USD,Algeria,DZA
DZA_Wood and Paper,DZA_Wood and Paper,manufacturing,True,,3122677.800847148,400372.8677458982,0.0046302390843227,0,USD,Algeria,DZA
"DZA_Petroleum, Chemical and Non-Metallic Mineral Products","DZA_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,7174193.487139384,1939334.9931651056,0.1982790982114274,0,USD,Algeria,DZA
DZA_Metal Products,DZA_Metal Products,manufacturing,True,,3115572.1763523268,713849.0878149519,0.0070837166620244,0,USD,Algeria,DZA
DZA_Electrical and Machinery,DZA_Electrical and Machinery,utility,True,,10691667.866787206,8289108.710351824,0.0024598645377928,0,USD,Algeria,DZA
DZA_Transport Equipment,DZA_Transport Equipment,utility,True,,5117210.290990086,4610057.76632818,0.0007898547317906,0,USD,Algeria,DZA
DZA_Other Manufacturing,DZA_Other Manufacturing,manufacturing,True,,1514082.2374144348,966849.5058425196,0.0022501918903253,0,USD,Algeria,DZA
DZA_Recycling,DZA_Recycling,utility,True,,593142.504493289,575062.1385235415,0.008610117327893,0,USD,Algeria,DZA
"DZA_Electricity, Gas and Water","DZA_Electricity, Gas and Water",utility,True,,12847167.04449363,6618186.16982514,0.0003348451260584,0,USD,Algeria,DZA
DZA_Construction,DZA_Construction,construction,True,,38749715.63998068,37276698.60906192,0.0005943333513136,0,USD,Algeria,DZA
DZA_Maintenance and Repair,DZA_Maintenance and Repair,construction,True,,540181.4324834871,392631.0128683879,0.024217906481818,0,USD,Algeria,DZA
DZA_Wholesale Trade,DZA_Wholesale Trade,trade,True,,14355109.363058109,9492924.76357895,0.0088136617478341,0,USD,Algeria,DZA
DZA_Retail Trade,DZA_Retail Trade,trade,True,,12454480.782718172,9911279.983384226,0.0021095938957479,0,USD,Algeria,DZA
DZA_Hotels and Restraurants,DZA_Hotels and Restraurants,service,True,,7444944.275107963,6495506.243034862,0.0172460336650728,0,USD,Algeria,DZA
DZA_Transport,DZA_Transport,construction,True,,11865173.887847869,5176844.488572267,0.061103445261609,0,USD,Algeria,DZA
DZA_Post and Telecommunications,DZA_Post and Telecommunications,service,True,,13807672.71795364,7608616.255154763,0.0137029250594024,0,USD,Algeria,DZA
DZA_Finacial Intermediation and Business Activities,DZA_Finacial Intermediation and Business Activities,service,True,,27143973.391990304,13555498.128206138,5.673843920912928e-05,0,USD,Algeria,DZA
DZA_Public Administration,DZA_Public Administration,service,True,,18727410.74499297,18691484.51418561,0.0002391698328377,0,USD,Algeria,DZA
"DZA_Education, Health and Other Services","DZA_Education, Health and Other Services",service,True,,15114841.064840864,14653588.600138497,0.0033168000336425,0,USD,Algeria,DZA
DZA_Private Households,DZA_Private Households,service,True,,225357.52885972147,212637.92815444057,0.0290856460507291,0,USD,Algeria,DZA
DZA_Others,DZA_Others,service,True,,521201.3547221919,249876.48401519508,0.0064057277225935,0,USD,Algeria,DZA
DZA_Re-export & Re-import,DZA_Re-export & Re-import,imports,True,,18564.75504435916,1525.0597986377843,0.9176756688086676,0,USD,Algeria,DZA
AND_Agriculture,AND_Agriculture,agriculture,True,,104899.4887119334,10736.505707433014,0.0894956326077166,0,USD,Andorra,AND
AND_Fishing,AND_Fishing,agriculture,True,,12163.41833883847,1112.9014073159983,0.2756883894895808,0,USD,Andorra,AND
AND_Mining and Quarrying,AND_Mining and Quarrying,mining,True,,76023.98879454924,2085.2518773770034,0.0566367195860776,0,USD,Andorra,AND
AND_Food & Beverages,AND_Food & Beverages,agriculture,True,,195231.01983338545,97668.22760553032,0.1863774296979456,0,USD,Andorra,AND
AND_Textiles and Wearing Apparel,AND_Textiles and Wearing Apparel,manufacturing,True,,58316.09478542664,23401.882433319977,0.2890752523661689,0,USD,Andorra,AND
AND_Wood and Paper,AND_Wood and Paper,manufacturing,True,,140939.5921831946,22469.71936460004,0.1890635074206778,0,USD,Andorra,AND
"AND_Petroleum, Chemical and Non-Metallic Mineral Products","AND_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,330521.8903964965,38032.85858072004,0.1298808386012692,0,USD,Andorra,AND
AND_Metal Products,AND_Metal Products,manufacturing,True,,158150.66301471516,7581.569511939989,0.1761662721147334,0,USD,Andorra,AND
AND_Electrical and Machinery,AND_Electrical and Machinery,utility,True,,438617.970711572,173160.12714995997,0.2446738166348031,0,USD,Andorra,AND
AND_Transport Equipment,AND_Transport Equipment,utility,True,,184898.7404505962,73356.38852220988,0.2919597348680169,0,USD,Andorra,AND
AND_Other Manufacturing,AND_Other Manufacturing,manufacturing,True,,58869.35546827551,20277.092403110008,0.2386619247723362,0,USD,Andorra,AND
AND_Recycling,AND_Recycling,utility,True,,23488.617796417104,7919.341721109996,0.5136754067388155,0,USD,Andorra,AND
"AND_Electricity, Gas and Water","AND_Electricity, Gas and Water",utility,True,,117144.54151446153,30624.37299125806,0.0320811287373525,0,USD,Andorra,AND
AND_Construction,AND_Construction,construction,True,,365568.3166443615,240801.46776367977,0.0809550304368206,0,USD,Andorra,AND
AND_Maintenance and Repair,AND_Maintenance and Repair,construction,True,,36993.3809244608,12218.20915448999,0.5894613575195589,0,USD,Andorra,AND
AND_Wholesale Trade,AND_Wholesale Trade,trade,True,,386064.2299087976,142500.0987395803,0.0849577194938946,0,USD,Andorra,AND
AND_Retail Trade,AND_Retail Trade,trade,True,,300787.83170521626,223000.49421463028,0.1236452683532568,0,USD,Andorra,AND
AND_Hotels and Restraurants,AND_Hotels and Restraurants,service,True,,231316.4208088488,153219.22661667038,0.139817751377473,0,USD,Andorra,AND
AND_Transport,AND_Transport,construction,True,,280391.29914479627,53634.42615817999,0.1502706633305952,0,USD,Andorra,AND
AND_Post and Telecommunications,AND_Post and Telecommunications,service,True,,241196.630144743,70239.85878713976,0.1325543270169928,0,USD,Andorra,AND
AND_Finacial Intermediation and Business Activities,AND_Finacial Intermediation and Business Activities,service,True,,1609702.2817767633,421066.2355102901,0.0052931724511623,0,USD,Andorra,AND
AND_Public Administration,AND_Public Administration,service,True,,471023.5098009204,428470.02587340976,0.0790188613350569,0,USD,Andorra,AND
"AND_Education, Health and Other Services","AND_Education, Health and Other Services",service,True,,632732.3270532499,491273.33035699,0.0651656689587629,0,USD,Andorra,AND
AND_Private Households,AND_Private Households,service,True,,28599.62733180516,9488.023293850014,0.6625581232970248,0,USD,Andorra,AND
AND_Others,AND_Others,service,True,,22402.77636846166,3512.3514157940035,0.1655750268029124,0,USD,Andorra,AND
AND_Re-export & Re-import,AND_Re-export & Re-import,imports,True,,23673.098614394727,5578.214687859997,0.7641503456980909,0,USD,Andorra,AND
AGO_Agriculture,AGO_Agriculture,agriculture,True,,12352009.54774098,5849372.714249865,0.0074783474068799,0,USD,Angola,AGO
AGO_Fishing,AGO_Fishing,agriculture,True,,1710492.7868379466,440922.71964168415,0.0147174068139775,0,USD,Angola,AGO
AGO_Mining and Quarrying,AGO_Mining and Quarrying,mining,True,,25795987.109488424,280647.1402393877,0.9759406138080624,0,USD,Angola,AGO
AGO_Food & Beverages,AGO_Food & Beverages,agriculture,True,,3154043.1296125203,1720771.1270525309,0.0094473224320353,0,USD,Angola,AGO
AGO_Textiles and Wearing Apparel,AGO_Textiles and Wearing Apparel,manufacturing,True,,614162.550860805,303330.7018437356,0.0149183843987689,0,USD,Angola,AGO
AGO_Wood and Paper,AGO_Wood and Paper,manufacturing,True,,1728771.0180735472,190704.7538998615,0.0076404500454968,0,USD,Angola,AGO
"AGO_Petroleum, Chemical and Non-Metallic Mineral Products","AGO_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,4601271.6189318085,1003166.9735077124,0.0190864692170629,0,USD,Angola,AGO
AGO_Metal Products,AGO_Metal Products,manufacturing,True,,1745229.9170563512,185375.4075932456,0.0106782390910138,0,USD,Angola,AGO
AGO_Electrical and Machinery,AGO_Electrical and Machinery,utility,True,,5227968.3100925,2873979.1951739243,0.0048373705708495,0,USD,Angola,AGO
AGO_Transport Equipment,AGO_Transport Equipment,utility,True,,2481241.161437418,1550501.441717215,0.0269805057406901,0,USD,Angola,AGO
AGO_Other Manufacturing,AGO_Other Manufacturing,manufacturing,True,,831682.9132057854,347329.1908245169,0.0135730601074334,0,USD,Angola,AGO
AGO_Recycling,AGO_Recycling,utility,True,,241844.3901824672,167314.1442193267,0.1607563864797845,0,USD,Angola,AGO
"AGO_Electricity, Gas and Water","AGO_Electricity, Gas and Water",utility,True,,10410171.876807228,4570709.454166812,0.0013365686220248,0,USD,Angola,AGO
AGO_Construction,AGO_Construction,construction,True,,20207853.60373362,15516850.073823268,0.0293748982306892,0,USD,Angola,AGO
AGO_Maintenance and Repair,AGO_Maintenance and Repair,construction,True,,599688.4774544004,371798.8002505212,0.0722141750458634,0,USD,Angola,AGO
