buying_sector,input_sector,inventory_duration_target
ACF,ACC,11.315370476238526
ACF,ACF,1.0491071428571428
ACF,ADM,7.033057551068458
ACF,AMO,7.253295646306554
ACF,ARC,11.315370476238526
ACF,BET,14.699724217735124
ACF,BUI,8.955676598687505
ACF,CON,2.865424588792638
ACF,CRE,14.699724217735124
ACF,CRO,3.061224489795918
ACF,CST,11.315370476238526
ACF,EDU,6.6937718367827435
ACF,ELE,4.285714285714286
ACF,EMP,8.955676598687505
ACF,FIN,3.8663908844017914
ACF,FIS,3.061224489795918
ACF,FOR,3.061224489795918
ACF,HEA,8.656621887441306
ACF,INF,4.285714285714286
ACF,INS,3.8663908844017914
ACF,LIB,14.699724217735124
ACF,LIV,3.061224489795918
ACF,MPA,3.420849420849421
ACF,MAO,3.420849420849421
ACF,MBA,3.420849420849421
ACF,MBE,3.420849420849421
ACF,MCH,3.420849420849421
ACF,MCO,3.420849420849421
ACF,MEL,3.420849420849421
ACF,MFA,3.420849420849421
ACF,MFO,3.420849420849421
ACF,MFU,3.420849420849421
ACF,MIN,2.5132162812271877
ACF,MMA,4.2339068238932915
ACF,MNM,3.420849420849421
ACF,MPH,3.420849420849421
ACF,MRU,3.420849420849421
ACF,MTE,3.420849420849421
ACF,MTO,3.420849420849421
ACF,MTR,3.420849420849421
ACF,MWO,3.420849420849421
ACF,OFS,8.955676598687505
ACF,OPS,7.253295646306554
ACF,POS,0.42857142857142855
ACF,PUB,4.285714285714286
ACF,REN,8.955676598687505
ACF,REP,7.253295646306554
ACF,RES,8.656621887441306
ACF,SEC,8.955676598687505
ACF,SOC,8.656621887441306
ACF,SPO,14.699724217735124
ACF,TEL,4.285714285714286
ACF,TRA,8.955676598687505
ACF,TRL,0.42857142857142855
ACF,TRR,5.749723145071982
ACF,TRW,5.749723145071982
ACF,VET,11.315370476238526
ACF,VID,4.285714285714286
ACF,WAS,4.285714285714286
ACF,REA,3.4470674830892962
ACF,IMP,3.4470674830892962
ADM,ACC,14.08246551585061
ADM,ACF,5.925235262638212
ADM,ADM,9.80015259068054
ADM,AMO,4.285714285714286
ADM,ARC,14.08246551585061
ADM,BET,17.466819257347204
ADM,BUI,1.0
ADM,CON,5.6325196284047205
ADM,CRE,17.466819257347204
ADM,CRO,6.907577722387359
ADM,CST,14.08246551585061
ADM,EDU,9.460866876394826
ADM,ELE,11.0
ADM,EMP,1.0
ADM,FIN,6.633485924013874
ADM,FIS,6.907577722387359
ADM,FOR,6.907577722387359
ADM,HEA,11.423716927053388
ADM,INF,13.142857142857142
ADM,INS,6.633485924013874
ADM,LIB,17.466819257347204
ADM,LIV,6.907577722387359
ADM,MPA,11.214285714285714
ADM,MAO,11.214285714285714
