"output","share_exporting_firms","final_demand","type","cutoff","usd_per_ton","sector","supply_data"
1732.87206133223,5.00644414451699e-05,323.920617260559,"manufacturing",0,1000,"KAZ_Rub","USD"
2885.92899803981,0.000982868751578747,2371.17351625903,"manufacturing",0,1000,"KAZ_Sal","USD"
383.562881370984,0.0111987080089337,145.936681470979,"manufacturing",0,1000,"KAZ_Tex","USD"
3234.66943185024,0.0424125547851441,2830.58173887253,"manufacturing",0,1000,"KAZ_Tra","USD"
130.35878624525,0.00163695851389096,30.8444574578305,"manufacturing",0,1000,"KAZ_Wat","USD"
33584.8528941286,0.00930574985556897,11886.2793119016,"trade",0,1000,"KAZ_Who","USD"
51.7932807880591,1.65170759344673e-05,4.47303210535645,"manufacturing",0,1000,"KAZ_Wod","USD"
111.794259815446,0.00478995999483695,88.7982098147008,"manufacturing",0,1000,"KGZ_Act","USD"
3321.71213948982,0.00210536493864716,2174.03403877005,"agriculture",0,1000,"KGZ_Agr","USD"
134.268895409214,0.00416140805863069,100.788767261941,"manufacturing",0,1000,"KGZ_Air","USD"
1184.31697771293,0.002469013080475,202.653988575537,"manufacturing",0,1000,"KGZ_Bas","USD"
17.4380722529277,0.0109428517415911,10.7304435149476,"manufacturing",0,1000,"KGZ_Che","USD"
11.2101739317767,0.0276785296519404,5.41035424764023,"utility",0,1000,"KGZ_Cok","USD"
3068.13921917258,0.00193323142989856,2187.28853936864,"mining",0,1000,"KGZ_Con","USD"
761.288489453354,0.000364533012865079,756.39799159613,"service",0,1000,"KGZ_Edu","USD"
335.485318307242,0.000468418929551478,246.891563047071,"utility",0,1000,"KGZ_Ele","USD"
10.0558885887843,0.0557792543589316,6.62942373670557,"manufacturing",0,1000,"KGZ_Elo","USD"
890.324870923283,8.3915276368018e-06,669.778690203033,"service",0,1000,"KGZ_Fni","USD"
665.20412912327,0.0150689468398855,598.66142422921,"manufacturing",0,1000,"KGZ_Foo","USD"
313.570691727747,5.11098757646926e-06,313.06015554023,"service",0,1000,"KGZ_Hea","USD"
326.474355954415,5.15598178521837e-05,306.270359121664,"service",0,1000,"KGZ_Hot","USD"
431.012683563454,0.020245816099199,287.2890635823,"transport",0,1000,"KGZ_Inl","USD"
7.33409614797646,0.00240605965342087,6.26915543084496,"manufacturing",0,1000,"KGZ_Lea","USD"
31.7715847911433,0.0840439484687874,24.5292804940132,"manufacturing",0,1000,"KGZ_Mac","USD"
19.332418705222,0.00116526696606845,17.7341369327134,"manufacturing",0,1000,"KGZ_Man","USD"
669.362136665419,0.0425811019252883,270.937769482521,"mining",0,1000,"KGZ_Min","USD"
290.513360973515,6.41805055903935e-06,189.283385876212,"manufacturing",0,1000,"KGZ_Nmm","USD"
218.551717776023,1.99452873006836e-06,216.061365320463,"service",0,1000,"KGZ_Oth","USD"
324.792103060538,0.00265526754449009,274.908977467306,"transport",0,1000,"KGZ_Pos","USD"
0,0,0,"service",0,1000,"KGZ_Pri","USD"
720.541253609174,0.0366636815335395,430.759378585954,"service",0,1000,"KGZ_Pub","USD"
25.8429563619825,0.000292591484247314,16.0328140444966,"manufacturing",0,1000,"KGZ_Pul","USD"
312.703945983807,3.11303909700256e-05,292.773871150737,"service",0,1000,"KGZ_Rea","USD"
256.648323610563,1.19576461451675e-05,243.572001107153,"service",0,1000,"KGZ_Ren","USD"
1855.08082961562,0.00242883725699709,1626.50912198417,"trade",0,1000,"KGZ_Ret","USD"
65.1312204753916,0.000299799000267167,37.2560922147822,"manufacturing",0,1000,"KGZ_Rub","USD"
119.465066713643,4.26769557579328e-09,60.7827949458995,"manufacturing",0,1000,"KGZ_Sal","USD"
69.0237051498728,0.00567664423152622,53.4985229954503,"manufacturing",0,1000,"KGZ_Tex","USD"
16.1852360895608,0.0392000477050197,6.48697054981034,"manufacturing",0,1000,"KGZ_Tra","USD"
0.10665935321582,3.10615873206882e-05,0.0727196364963918,"manufacturing",0,1000,"KGZ_Wat","USD"
408.0251656727,0.0010262708604841,328.778703651967,"trade",0,1000,"KGZ_Who","USD"
8.33283376373214,1.88341953033742e-06,7.41535700668074,"manufacturing",0,1000,"KGZ_Wod","USD"
567.177912690529,0.0038562236794418,159.484282149102,"manufacturing",0,1000,"MNG_Act","USD"
3602.68269932907,0.000376479792695769,1094.000907941,"agriculture",0,1000,"MNG_Agr","USD"
244.152715015961,0.00644073994660121,66.0751978815094,"manufacturing",0,1000,"MNG_Air","USD"
329.124704091532,0.00630645695691912,4.46198406695801,"manufacturing",0,1000,"MNG_Bas","USD"
81.9852680975907,2.26190729830071e-08,18.0328447394714,"manufacturing",0,1000,"MNG_Che","USD"
92.7289600438484,0.000280412306574191,23.6218427231194,"utility",0,1000,"MNG_Cok","USD"
3452.54968128671,0.000512965347710691,1798.70352857493,"mining",0,1000,"MNG_Con","USD"
946.920323392783,0.00101185135292249,910.090328192546,"service",0,1000,"MNG_Edu","USD"
1210.64852178542,0,92.9489038286442,"utility",0,1000,"MNG_Ele","USD"
16.5149938601432,0.000128199759640079,4.54988289857721,"manufacturing",0,1000,"MNG_Elo","USD"
1318.60564684538,0.000248191878191785,363.796899329047,"service",0,1000,"MNG_Fni","USD"
2939.88141306333,0.000869426338894145,2538.85585878643,"manufacturing",0,1000,"MNG_Foo","USD"
796.965345638686,0.000393831599666889,749.078455917312,"service",0,1000,"MNG_Hea","USD"
516.335552621538,0.0101385229469613,290.837242762579,"service",0,1000,"MNG_Hot","USD"
1363.56143259589,0.0105608689729597,555.484468009407,"transport",0,1000,"MNG_Inl","USD"
62.8964569817046,0.000481464911018943,28.3912851522599,"manufacturing",0,1000,"MNG_Lea","USD"
47.3137831047646,0.0147063666344326,11.6643080702221,"manufacturing",0,1000,"MNG_Mac","USD"
50.7772335677473,1.85587186862247e-05,33.8556603275747,"manufacturing",0,1000,"MNG_Man","USD"
10249.8650056957,0,116.6473854097,"mining",0,1000,"MNG_Min","USD"
263.641812147495,0,40.2431206345487,"manufacturing",0,1000,"MNG_Nmm","USD"
536.882693618009,0.00175709943054182,267.178300978201,"service",0,1000,"MNG_Oth","USD"
608.418837842087,0.000861371263604692,261.485772729343,"transport",0,1000,"MNG_Pos","USD"
1.28594268617776,0,1.28594268617776,"service",0,1000,"MNG_Pri","USD"
