country,sector,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,VNM,THA,LAO,AFR,AME,ASI,EUR,OCE
,,CRO,LIV,FOR,FIS,MIN,MFO,MBE,MTO,MTE,MWO,MPA,MCO,MCH,MPH,MRU,MNM,MBA,MFA,MEL,MMA,MTR,MFU,MAO,ELE,WAS,CON,TRW,TRR,TRL,POS,ACF,PUB,VID,TEL,INF,FIN,INS,REA,ACC,CST,ARC,VET,REN,EMP,TRA,SEC,BUI,OFS,ADM,EDU,HEA,RES,SOC,CRE,LIB,BET,SPO,AMO,REP,OPS,final_demand,capital,exports,exports,exports,exports,exports,exports,exports,exports
KHM,MWO,7.787,0.000,1.932,1.353,0.000,0.000,0.174,0.000,3.883,2.202,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.007,0.000,0.000,0.079,0.033,0.001,1.366,0.001,5.541,4.480,0.000,0.011,0.000,2.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.215,0.427,3.634,0.056,0.000,0.000,0.129,0.565,0.002,0.026
KHM,MPA,0.041,0.000,0.002,0.004,0.000,0.105,0.000,0.000,0.128,0.004,44.368,0.000,0.164,0.025,0.050,0.030,2.010,0.608,0.000,0.005,0.018,0.001,1.437,0.767,0.166,1.114,4.714,1.540,0.405,0.047,7.866,2.568,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.084,8.014,2.440,0.000,0.008,0.000,0.000,0.001,0.015,0.000,0.262,0.004,0.955,93.667,1.245,0.125,0.204,0.000,0.084,1.232,13.958,2.162,0.068
KHM,MCO,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
KHM,MCH,27.456,0.041,0.000,4.623,0.322,0.030,0.047,0.037,0.012,0.000,0.000,0.000,1.231,0.090,6.905,0.217,0.000,0.025,0.000,0.000,0.001,0.000,0.026,0.024,0.016,0.007,0.871,0.002,0.013,0.000,0.013,0.001,0.000,0.047,0.000,0.035,0.000,0.786,0.001,0.000,0.036,0.002,0.000,0.001,0.064,0.029,0.000,0.000,0.018,0.031,9.669,0.000,0.005,0.002,0.000,0.000,0.006,0.017,0.006,0.113,28.668,0.408,0.013,0.005,0.000,0.002,0.039,1.202,0.077,0.000
KHM,MPH,1.660,0.003,0.000,0.279,0.019,0.002,0.003,0.002,0.001,0.000,0.000,0.000,0.074,0.005,0.417,0.013,0.000,0.002,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.000,0.053,0.000,0.001,0.000,0.001,0.000,0.000,0.003,0.000,0.002,0.000,0.047,0.000,0.000,0.002,0.000,0.000,0.000,0.004,0.002,0.000,0.000,0.001,0.002,0.584,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.007,1.733,0.025,0.000,0.000,0.000,0.022,0.005,0.052,0.001,0.001
KHM,MRU,5.462,0.000,0.000,0.834,0.000,13.587,15.038,5.969,32.649,0.216,6.083,0.000,0.819,0.048,48.990,3.153,1.119,5.904,0.013,0.225,1.588,0.016,0.771,0.766,0.000,27.814,48.684,1.545,11.388,0.001,6.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.171,0.000,0.000,2.620,0.000,0.000,0.147,0.000,0.000,0.010,0.254,0.000,0.000,0.000,0.564,117.228,26.357,18.233,0.490,0.000,0.076,17.790,14.383,1.788,0.179
KHM,MNM,0.000,0.000,0.000,0.192,2.205,4.031,27.689,0.000,0.010,0.000,0.002,0.000,2.882,0.141,13.338,4.913,0.001,1.163,0.000,0.000,0.751,0.022,0.453,4.782,0.041,43.055,19.420,0.114,2.254,0.000,0.862,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.000,0.000,0.002,0.000,0.000,0.721,0.000,0.000,0.159,0.038,0.023,0.001,0.000,0.004,0.000,0.001,0.000,0.000,0.003,0.130,49.484,1.053,0.137,0.064,0.014,0.000,0.053,0.115,0.184,0.029
KHM,MBA,0.000,0.000,0.013,0.000,0.000,0.003,0.000,0.000,0.000,0.000,1.114,0.000,0.004,0.001,0.000,0.000,2.955,2.588,0.000,0.012,0.413,0.000,0.685,0.018,0.004,92.828,0.114,0.039,0.001,0.001,0.197,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.201,0.061,0.000,0.107,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.134,14.549,1.973,0.161,2.476,0.000,0.002,0.913,1.310,0.188,0.043
KHM,MFA,0.000,0.000,0.013,0.000,0.000,0.006,0.000,0.000,4.375,0.120,1.204,0.000,0.091,0.003,1.689,1.025,1.025,9.899,0.002,0.122,0.710,0.027,1.135,1.515,0.001,62.199,6.136,0.012,13.702,0.002,1.273,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.894,0.020,0.000,0.317,0.000,0.000,0.020,0.500,0.000,0.005,0.000,0.239,54.895,31.067,5.462,0.383,0.000,0.010,2.960,6.756,2.151,0.067
KHM,MEL,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.005,0.003,0.000,0.060,0.061,0.000,0.014,0.000,0.030,0.000,0.000,0.063,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.005,0.001,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.001,0.190,0.371,0.001,0.041,0.000,0.000,0.001,0.045,0.002,0.000
